id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,lon,lat
953,1580027704000,1580561200000,,2,亚洲,6,日本,,,20,0,1,0,,0,xuyt,951002,133.28743,34.779806
949,1580027637000,1580495765000,,2,亚洲,2,泰国,,,19,0,5,0,,0,xuyt,952010,101.492516,13.036597
950,1580027655000,1580619404000,,2,亚洲,3,新加坡,,,18,0,0,0,,0,xuyt,952009,103.864166,1.317653
954,1580027721000,1580609979000,,2,亚洲,7,韩国,,,15,0,0,0,,0,xuyt,951004,127.765678,35.859278
958,1580027777000,1580620070000,,2,大洋洲,10,澳大利亚,,,12,0,2,0,,0,xuyt,990001,136.011169,-26.980208
1047,1580167302000,1580653589000,,2,欧洲,10,德国,,,10,0,0,0,,0,shiweiyi,963003,10.452764,51.165707
955,1580027735000,1580684415000,,2,北美洲,8,美国,,,9,0,0,0,,0,xuyt,971002,-97.76,39.26
951,1580027668000,1580495813000,,2,亚洲,4,马来西亚,,,8,0,0,0,,0,xuyt,952007,114.184383,4.109319
952,1580027683000,1580516875000,,2,欧洲,5,法国,,,6,0,0,0,,0,xuyt,961002,2.209667,46.215792
956,1580027751000,1580539329000,,2,亚洲,9,越南,,,6,0,1,0,,0,xuyt,952011,104.52,15.898639
1650,1580276720000,1580621660000,,2,亚洲,10,阿联酋,,,5,0,0,0,,0,yuting,955019,54.752602,24.356466
959,1580027795000,1580552879000,,2,北美洲,10,加拿大,,,4,0,0,0,,0,xuyt,971001,-96.818146,62.40946
1954,1580375521000,1580622802000,,2,亚洲,10,印度,,,2,0,0,0,,0,gaoh,953003,82.664944,21.123934
1957,1580425693000,1580516912000,,2,欧洲,10,意大利,,,2,0,0,0,,0,shiweiyi,965008,14.547259,41.293695
2280,1580464639000,1580495938000,,2,欧洲,10,英国,,,2,0,0,0,,0,leimanman,961007,-3.445833,55.00782
2281,1580476133000,1580495947000,,2,欧洲,10,俄罗斯,,,2,0,0,0,,0,hekaiqi,964006,90,61.523111
2870,1580566796000,1580614212000,,2,亚洲,10,菲律宾,,,2,0,0,1,,0,hekaiqi,952008,120.154879,15.618222
957,1580027764000,1580495955000,,2,亚洲,10,尼泊尔,,,1,0,0,0,,0,xuyt,953005,84.127804,28.4032
1023,1580130061000,1580495965000,,2,亚洲,10,柬埔寨,,,1,0,0,0,,0,hanting,952003,104.98386,12.296333
1306,1580182019000,1580495982000,,2,亚洲,10,斯里兰卡,,,1,0,0,0,,0,zhuotingting,953007,80.767097,7.874097
1656,1580337882000,1580495991000,,2,欧洲,10,芬兰,,,1,0,0,0,,0,zhuotingting,962002,25.449319,64.931818
2293,1580512517000,1580514491000,,2,欧洲,10,西班牙,,,1,0,0,0,,0,zhuotingting,965015,-2.487695,39.864695
2596,1580516851000,1580516851000,,2,欧洲,10,瑞典,,,1,0,0,0,,0,leimanman,962005,17.575,62.199806
